Adaptive_Scheme,Experiment_ID,Iteration
OneFifth,77,4722
OneFifth,78,4904
OneFifth,79,5722
OneFifth,80,4930
OneFifth,81,5214
OneFifth,82,5325
OneFifth,83,5634
OneFifth,84,5347
OneFifth,85,5203
OneFifth,86,5195
OneFifth,87,4297
OneFifth,88,6352
OneFifth,89,4587
OneFifth,90,5305
OneFifth,91,4814
OneFifth,92,4348
OneFifth,93,5365
OneFifth,94,6002
OneFifth,95,4651
OneFifth,96,5370
OneFifth,97,5887
OneFifth,98,4919
OneFifth,99,5210
DiversityCompare,0,4415
DiversityCompare,1,4998
DiversityCompare,2,4127
DiversityCompare,3,5025
DiversityCompare,4,4553
DiversityCompare,5,5156
DiversityCompare,6,5028
DiversityCompare,7,5437
DiversityCompare,8,5578
DiversityCompare,9,4646
DiversityCompare,10,5100
DiversityCompare,11,5357
DiversityCompare,12,5265
DiversityCompare,13,6166
DiversityCompare,14,5164
DiversityCompare,15,5437
DiversityCompare,16,5043
DiversityCompare,17,4869
DiversityCompare,18,4700
DiversityCompare,19,4752
DiversityCompare,20,4390
DiversityCompare,21,4518
DiversityCompare,22,5346
DiversityCompare,23,4930
DiversityCompare,24,5195
DiversityCompare,25,4978
DiversityCompare,26,5148
DiversityCompare,27,5909
DiversityCompare,28,5020
DiversityCompare,29,6030
DiversityCompare,30,5357
DiversityCompare,31,4749
DiversityCompare,32,5260
DiversityCompare,33,4366
DiversityCompare,34,5277
DiversityCompare,35,4515
DiversityCompare,36,4728
DiversityCompare,37,5415
DiversityCompare,38,5762
DiversityCompare,39,5871
DiversityCompare,40,5220
DiversityCompare,41,5141
DiversityCompare,42,4489
DiversityCompare,43,4913
DiversityCompare,44,5007
DiversityCompare,45,5315
DiversityCompare,46,5619
DiversityCompare,47,4812
DiversityCompare,48,5112
DiversityCompare,49,5631
DiversityCompare,50,5416
DiversityCompare,51,5117
DiversityCompare,52,6125
DiversityCompare,53,5469
DiversityCompare,54,5201
DiversityCompare,55,4456
DiversityCompare,56,4878
DiversityCompare,57,4864
DiversityCompare,58,5143
DiversityCompare,59,5238
DiversityCompare,60,4594
DiversityCompare,61,5027
DiversityCompare,62,5462
DiversityCompare,63,4977
DiversityCompare,64,4879
DiversityCompare,65,5590
DiversityCompare,66,4854
DiversityCompare,67,5457
DiversityCompare,68,5169
DiversityCompare,69,5035
DiversityCompare,70,4841
DiversityCompare,71,4879
DiversityCompare,72,4363
DiversityCompare,73,5593
DiversityCompare,74,5698
DiversityCompare,75,5012
DiversityCompare,76,5812
DiversityCompare,77,5621
DiversityCompare,78,4751
DiversityCompare,79,4929
DiversityCompare,80,5448
DiversityCompare,81,5357
DiversityCompare,82,5125
DiversityCompare,83,6481
DiversityCompare,84,4962
DiversityCompare,85,4808
DiversityCompare,86,4285
DiversityCompare,87,4402
DiversityCompare,88,5196
DiversityCompare,89,4920
DiversityCompare,90,5728
DiversityCompare,91,5154
DiversityCompare,92,5532
DiversityCompare,93,5093
DiversityCompare,94,5078
DiversityCompare,95,4966
DiversityCompare,96,5213
DiversityCompare,97,5171
DiversityCompare,98,5130
DiversityCompare,99,4618
CosineCompare,0,5209
CosineCompare,1,4815
CosineCompare,2,4250
CosineCompare,3,5144
CosineCompare,4,5641
CosineCompare,5,5003
CosineCompare,6,4979
CosineCompare,7,4688
CosineCompare,8,5206
CosineCompare,9,6017
CosineCompare,10,5816
CosineCompare,11,4933
CosineCompare,12,5173
CosineCompare,13,4114
CosineCompare,14,5634
CosineCompare,15,5680
CosineCompare,16,5300
CosineCompare,17,4052
CosineCompare,18,5549
CosineCompare,19,5345
CosineCompare,20,5258
CosineCompare,21,5554
CosineCompare,22,5538
CosineCompare,23,5064
CosineCompare,24,5653
CosineCompare,25,5297
CosineCompare,26,5338
CosineCompare,27,5739
CosineCompare,28,4896
CosineCompare,29,5598
CosineCompare,30,5137
CosineCompare,31,5088
CosineCompare,32,6007
CosineCompare,33,6048
CosineCompare,34,4271
CosineCompare,35,5122
CosineCompare,36,4862
CosineCompare,37,5928
CosineCompare,38,5669
CosineCompare,39,4043
CosineCompare,40,5302
CosineCompare,41,4476
CosineCompare,42,5310
CosineCompare,43,5545
CosineCompare,44,4353
CosineCompare,45,5165
CosineCompare,46,4816
CosineCompare,47,4826
CosineCompare,48,6309
CosineCompare,49,5363
CosineCompare,50,4456
CosineCompare,51,5376
CosineCompare,52,5453
CosineCompare,53,5110
CosineCompare,54,4442
CosineCompare,55,5192
CosineCompare,56,4683
CosineCompare,57,5036
CosineCompare,58,4726
CosineCompare,59,5111
CosineCompare,60,5392
CosineCompare,61,4940
CosineCompare,62,5112
CosineCompare,63,5616
CosineCompare,64,5095
CosineCompare,65,5082
CosineCompare,66,5472
CosineCompare,67,5239
CosineCompare,68,5811
CosineCompare,69,5270
CosineCompare,70,4424
CosineCompare,71,5248
CosineCompare,72,4869
CosineCompare,73,5649
CosineCompare,74,5259
CosineCompare,75,5474
CosineCompare,76,4858
CosineCompare,77,5336
CosineCompare,78,4791
CosineCompare,79,5673
CosineCompare,80,4514
CosineCompare,81,5328
CosineCompare,82,4196
CosineCompare,83,4680
CosineCompare,84,4593
CosineCompare,85,4864
CosineCompare,86,5417
CosineCompare,87,5631
CosineCompare,88,5191
CosineCompare,89,4898
CosineCompare,90,4612
CosineCompare,91,5042
CosineCompare,92,5369
CosineCompare,93,4787
CosineCompare,94,5930
CosineCompare,95,5268
CosineCompare,96,5364
CosineCompare,97,4529
CosineCompare,98,5870
CosineCompare,99,5683
CosineControl,0,4012
CosineControl,1,4427
CosineControl,2,5176
CosineControl,3,4248
CosineControl,4,4447
CosineControl,5,5769
CosineControl,6,5783
CosineControl,7,4769
CosineControl,8,5293
CosineControl,9,5040
CosineControl,10,4865
CosineControl,11,4939
CosineControl,12,4906
CosineControl,13,4405
CosineControl,14,4758
CosineControl,15,5745
CosineControl,16,4918
CosineControl,17,4974
CosineControl,18,4686
CosineControl,19,5726
CosineControl,20,5153
CosineControl,21,5170
CosineControl,22,5784
CosineControl,23,5138
CosineControl,24,4182
CosineControl,25,4657
CosineControl,26,5138
CosineControl,27,5711
CosineControl,28,4441
CosineControl,29,5109
CosineControl,30,5439
CosineControl,31,4752
CosineControl,32,4942
CosineControl,33,5239
CosineControl,34,4672
CosineControl,35,5265
CosineControl,36,5315
CosineControl,37,5091
CosineControl,38,5122
CosineControl,39,5308
CosineControl,40,4832
CosineControl,41,4807
CosineControl,42,5243
CosineControl,43,5555
CosineControl,44,5341
CosineControl,45,4670
CosineControl,46,5210
CosineControl,47,4334
CosineControl,48,5382
CosineControl,49,5296
CosineControl,50,4749
CosineControl,51,5458
CosineControl,52,4601
CosineControl,53,4112
CosineControl,54,5021
CosineControl,55,5568
CosineControl,56,5750
CosineControl,57,5292
CosineControl,58,4032
CosineControl,59,4688
CosineControl,60,5273
CosineControl,61,5931
CosineControl,62,4860
CosineControl,63,5393
CosineControl,64,5894
CosineControl,65,4537
CosineControl,66,5623
CosineControl,67,4904
CosineControl,68,4596
CosineControl,69,4632
CosineControl,70,5016
CosineControl,71,4119
CosineControl,72,4809
CosineControl,73,4894
CosineControl,74,4358
CosineControl,75,5470
CosineControl,76,5538
CosineControl,77,5202
CosineControl,78,4821
CosineControl,79,5108
CosineControl,80,5201
CosineControl,81,5617
CosineControl,82,4623
CosineControl,83,5427
CosineControl,84,5079
CosineControl,85,4974
CosineControl,86,5217
CosineControl,87,4288
CosineControl,88,5792
CosineControl,89,5619
CosineControl,90,4091
CosineControl,91,4316
CosineControl,92,5063
CosineControl,93,4643
CosineControl,94,5899
CosineControl,95,5542
CosineControl,96,5895
CosineControl,97,4142
CosineControl,98,5069
CosineControl,99,4841
CosineAnnealing,0,4955
CosineAnnealing,1,4881
CosineAnnealing,2,4530
CosineAnnealing,3,5591
CosineAnnealing,4,4947
CosineAnnealing,5,5241
CosineAnnealing,6,5377
CosineAnnealing,7,4979
CosineAnnealing,8,4236
CosineAnnealing,9,4932
CosineAnnealing,10,4977
CosineAnnealing,11,6703
CosineAnnealing,12,5311
CosineAnnealing,13,5074
CosineAnnealing,14,5840
CosineAnnealing,15,3913
CosineAnnealing,16,4721
CosineAnnealing,17,5009
CosineAnnealing,18,5128
CosineAnnealing,19,5059
CosineAnnealing,20,6348
CosineAnnealing,21,5123
CosineAnnealing,22,5223
CosineAnnealing,23,5069
CosineAnnealing,24,5204
CosineAnnealing,25,5447
CosineAnnealing,26,4626
CosineAnnealing,27,6043
CosineAnnealing,28,4553
CosineAnnealing,29,5234
CosineAnnealing,30,5343
CosineAnnealing,31,5130
CosineAnnealing,32,4431
CosineAnnealing,33,4705
CosineAnnealing,34,4843
CosineAnnealing,35,4451
CosineAnnealing,36,5631
CosineAnnealing,37,4874
CosineAnnealing,38,4948
CosineAnnealing,39,5145
CosineAnnealing,40,4969
CosineAnnealing,41,4692
CosineAnnealing,42,5152
CosineAnnealing,43,5751
CosineAnnealing,44,5723
CosineAnnealing,45,4965
CosineAnnealing,46,4632
CosineAnnealing,47,4776
CosineAnnealing,48,4973
CosineAnnealing,49,4447
CosineAnnealing,50,4594
CosineAnnealing,51,5093
CosineAnnealing,52,4975
CosineAnnealing,53,4950
CosineAnnealing,54,4834
CosineAnnealing,55,4593
CosineAnnealing,56,5007
CosineAnnealing,57,4873
CosineAnnealing,58,4885
CosineAnnealing,59,5763
CosineAnnealing,60,4385
CosineAnnealing,61,5693
CosineAnnealing,62,5242
CosineAnnealing,63,4369
CosineAnnealing,64,4515
CosineAnnealing,65,4787
CosineAnnealing,66,5380
CosineAnnealing,67,4631
CosineAnnealing,68,5216
CosineAnnealing,69,4950
CosineAnnealing,70,5460
CosineAnnealing,71,5341
CosineAnnealing,72,5461
CosineAnnealing,73,4701
CosineAnnealing,74,5357
CosineAnnealing,75,5630
CosineAnnealing,76,5013
CosineAnnealing,77,5208
CosineAnnealing,78,5018
CosineAnnealing,79,5467
CosineAnnealing,80,4820
CosineAnnealing,81,4822
CosineAnnealing,82,5553
CosineAnnealing,83,5610
CosineAnnealing,84,4347
CosineAnnealing,85,5332
CosineAnnealing,86,5089
CosineAnnealing,87,5524
CosineAnnealing,88,4321
CosineAnnealing,89,4625
CosineAnnealing,90,5350
CosineAnnealing,91,4968
CosineAnnealing,92,4978
CosineAnnealing,93,5340
CosineAnnealing,94,4644
CosineAnnealing,95,4842
CosineAnnealing,96,5301
CosineAnnealing,97,4643
CosineAnnealing,98,4706
CosineAnnealing,99,4170
AverageFitness,0,5541
AverageFitness,1,4727
AverageFitness,2,5142
AverageFitness,3,5709
AverageFitness,4,4861
AverageFitness,5,4575
AverageFitness,6,5192
AverageFitness,7,5252
AverageFitness,8,5750
AverageFitness,9,5506
AverageFitness,10,4555
AverageFitness,11,5481
AverageFitness,12,5913
AverageFitness,13,4858
AverageFitness,14,4820
AverageFitness,15,5041
AverageFitness,16,4702
AverageFitness,17,4699
AverageFitness,18,4789
AverageFitness,19,5182
AverageFitness,20,5376
AverageFitness,21,4542
AverageFitness,22,5253
AverageFitness,23,6241
AverageFitness,24,4857
AverageFitness,25,4864
AverageFitness,26,5578
AverageFitness,27,5549
AverageFitness,28,5368
AverageFitness,29,4578
AverageFitness,30,5589
AverageFitness,31,5269
AverageFitness,32,4998
AverageFitness,33,5537
AverageFitness,34,4757
AverageFitness,35,4713
AverageFitness,36,5721
AverageFitness,37,5313
AverageFitness,38,4968
AverageFitness,39,5241
AverageFitness,40,5340
AverageFitness,41,5022
AverageFitness,42,4101
AverageFitness,43,4478
AverageFitness,44,4912
AverageFitness,45,5088
AverageFitness,46,3981
AverageFitness,47,5663
AverageFitness,48,5004
AverageFitness,49,4608
AverageFitness,50,5067
AverageFitness,51,4665
AverageFitness,52,5978
AverageFitness,53,4646
AverageFitness,54,4136
AverageFitness,55,5189
AverageFitness,56,4781
AverageFitness,57,4789
AverageFitness,58,4976
AverageFitness,59,5236
AverageFitness,60,5379
AverageFitness,61,5647
AverageFitness,62,5022
AverageFitness,63,5718
AverageFitness,64,5372
AverageFitness,65,4894
AverageFitness,66,4527
AverageFitness,67,4200
AverageFitness,68,5180
AverageFitness,69,5191
AverageFitness,70,4305
AverageFitness,71,5463
AverageFitness,72,4176
AverageFitness,73,5301
AverageFitness,74,5060
AverageFitness,75,5448
AverageFitness,76,4520
AverageFitness,77,4722
AverageFitness,78,6305
AverageFitness,79,5051
AverageFitness,80,4789
AverageFitness,81,5002
AverageFitness,82,5193
AverageFitness,83,5393
AverageFitness,84,5323
AverageFitness,85,4802
AverageFitness,86,5504
AverageFitness,87,4844
AverageFitness,88,4908
AverageFitness,89,5075
AverageFitness,90,4876
AverageFitness,91,5753
AverageFitness,92,4812
AverageFitness,93,5196
AverageFitness,94,4647
AverageFitness,95,5204
AverageFitness,96,5072
AverageFitness,97,4335
AverageFitness,98,4875
AverageFitness,99,6593
MatingDistance,0,4857
MatingDistance,1,5345
MatingDistance,2,5140
MatingDistance,3,4909
MatingDistance,4,4974
MatingDistance,5,4861
MatingDistance,6,5404
MatingDistance,7,5599
MatingDistance,8,4546
MatingDistance,9,4217
MatingDistance,10,4983
MatingDistance,11,4337
MatingDistance,12,5559
MatingDistance,13,4961
MatingDistance,14,5607
MatingDistance,15,4880
MatingDistance,16,5694
MatingDistance,17,6399
MatingDistance,18,4824
MatingDistance,19,4406
MatingDistance,20,5348
MatingDistance,21,5731
MatingDistance,22,4916
MatingDistance,23,5240
MatingDistance,24,4623
MatingDistance,25,5333
MatingDistance,26,5423
MatingDistance,27,4507
MatingDistance,28,5478
MatingDistance,29,5323
MatingDistance,30,4548
MatingDistance,31,4829
MatingDistance,32,4331
MatingDistance,33,5872
MatingDistance,34,4951
MatingDistance,35,5731
MatingDistance,36,4085
MatingDistance,37,4972
MatingDistance,38,4662
MatingDistance,39,5078
MatingDistance,40,4993
MatingDistance,41,5286
MatingDistance,42,5948
MatingDistance,43,4456
MatingDistance,44,5134
MatingDistance,45,4579
MatingDistance,46,4132
MatingDistance,47,4697
MatingDistance,48,5093
MatingDistance,49,4284
MatingDistance,50,5519
MatingDistance,51,5137
MatingDistance,52,4597
MatingDistance,53,5085
MatingDistance,54,4780
MatingDistance,55,4406
MatingDistance,56,5574
MatingDistance,57,4689
MatingDistance,58,5034
MatingDistance,59,4879
MatingDistance,60,5061
MatingDistance,61,4906
MatingDistance,62,4910
MatingDistance,63,5083
MatingDistance,64,5673
MatingDistance,65,4695
MatingDistance,66,5308
MatingDistance,67,5545
MatingDistance,68,5136
MatingDistance,69,5006
MatingDistance,70,5795
MatingDistance,71,4879
MatingDistance,72,5093
MatingDistance,73,5214
MatingDistance,74,4382
MatingDistance,75,5017
MatingDistance,76,4888
MatingDistance,77,5085
MatingDistance,78,5673
MatingDistance,79,5248
MatingDistance,80,4948
MatingDistance,81,5133
MatingDistance,82,5260
MatingDistance,83,5231
MatingDistance,84,4771
MatingDistance,85,4994
MatingDistance,86,5310
MatingDistance,87,5700
MatingDistance,88,4953
MatingDistance,89,4695
MatingDistance,90,4974
MatingDistance,91,5132
MatingDistance,92,5239
MatingDistance,93,4951
MatingDistance,94,5300
MatingDistance,95,5606
MatingDistance,96,4208
MatingDistance,97,5115
MatingDistance,98,4738
MatingDistance,99,4995
